Life Pacific College-Ignite,lifepacific.edu/extension-campus,VA
Texas College of Cosmetology-Lubbock,www.texascollegecosmetology.com,TX
University of Arkansas Community College at Hope - Texarkana,www.uacch.edu,AR
Bryan University - Tempe,bryanuniversity.edu,AZ
Fortis College-Cuyahoga Falls,FortisCollege.edu,OH
Florida Career College-Orlando,www.floridacareercollege.edu/,FL
Aveda Institute Portland-Vancouver Campus,avedapdx.com/about-our-school/locations/vancouver,WA
Concorde Career College-Southaven,www.concorde.edu,MS
Arizona College-Las Vegas,www.arizonacollege.edu,NV
Academy of Interactive Entertainment,www.theaie.us/,LA
Bridges Beauty College -,www.bridgesbeautycollege.com,CA
Denver Seminary - Washington DC,www.denverseminary.edu/dc/,MD
Delaware Technical Community College-Owens,https://www.dtcc.edu/our-campuses/georgetown,DE
East Georgia State College - Augusta,www.ega.edu/augusta,GA
Purdue University - Purdue Polytechnic South Bend,polytechnic.purdue.edu/south-bend,IN
Stella and Charles Guttman Community College,www.guttman.cuny.edu/,NY
Cosmo Factory Cosmetology Academy,www.thecosmofactory.com,CA
Ross Medical Education Center-Ontario,www.rosseducation.edu,OH
Southern Texas Careers Academy,stcacademy.edu/,TX
Grace Mission University,www.gm.edu,CA
PCCTI IT and Healthcare,WWW.PCCTI.COM,IL
Prestige Health & Beauty Sciences Academy,phabsa.com,FL
Empire Beauty School-Augusta,www.empire.edu,GA
Santa Ana Beauty College,www.savcusa.com,CA
Academy of Interactive Entertainment,www.theaie.us,WA
Empire Beauty School-Stone Park,www.empire.edu,IL
Central Georgia Technical College,www.centralgatech.edu,GA
Virginia Baptist College,www.vbc.edu,VA
Aviation Institute of Maintenance-Las Vegas,www.aviationmaintenance.edu,NV
DeVry University-Missouri,https://www.devry.edu,MO
Empire Beauty School-Rochester,www.empire.edu,NY
Louisiana Delta Community College,www.ladelta.edu,LA
DeVry University-North Carolina,https://www.devry.edu,NC
National American University-Georgetown,www.national.edu/locations/campuses/georgetown/,TX
DeVry University-Pennsylvania,https://www.devry.edu,PA
DeVry University-Texas,https://www.devry.edu,TX
The Art Institute of St Louis,www.artinstitutes.edu/st-louis,MO
California University of Management and Sciences,www.calums.edu,CA
Franciscan School of Theology,www.fst.edu,CA
